"Alessandro, 2014"	A computational analysis of motor synergies by dynamic response decomposition
"Fischer, 2002"	Basic limb kinematics of small therian mammals
"Grätsch, 2019"	Descending control of locomotor circuits
"Greene, 1955"	Anatomy of the rat.
"Hardt, 1978"	Determining Muscle Forces in the Leg During Normal Human Walking—An Application and Evaluation of Optimization Methods
"Herzog, 1991"	Validation of optimization models that estimate the forces exerted by synergistic muscles
"Hof, 2001"	The force resulting from the action of mono- and biarticular muscles in a limb
"Hoy, 1990"	"A musculoskeletal model of the human lower extremity: The effect of muscle, tendon, and moment arm on the moment-angle relationship of musculotendon actuators at the hip, knee, and ankle"
"Hunt, 2014"	Neuromechanical Simulation of an Inter-leg Controller for Tetrapod Coordination
"Hunt, 2015"	Using Animal Data and Neural Dynamics to Reverse Engineer a Neuromechanical Rat Model
"Hunt, 2017"	Development and Training of a Neural Controller for Hind Leg Walking in a Dog Robot
"Jarc, 2013"	FES Control of Isometric Forces in the Rat Hindlimb Using Many Muscles
"Johnson, 2011"	Application of a Rat Hindlimb Model: A Prediction of Force Spaces Reachable Through Stimulation of Nerve Fascicles
"Johnson, 2008"	A three-dimensional model of the rat hindlimb: Musculoskeletal geometry and muscle moment arms
"Kaufman, 1991"	Physiological prediction of muscle forces—I. Theoretical formulation
"Kurtzer, 2006"	Primate Upper Limb Muscles Exhibit Activity Patterns That Differ From Their Anatomical Action During a Postural Task
"Kutch, 2011"	Muscle redundancy does not imply robustness to muscle dysfunction
"Lakatos, 2016"	Dynamic bipedal walking by controlling only the equilibrium of intrinsic elasticities
"Lee, 2001"	Algorithms for Non-negative Matrix Factorization
"Lee, 2008"	Estimation of the effective static moment arms of the tendons in the index finger extensor mechanism
"Lee, 1984"	Neuromotor Synergies as a Basis for Coordinated Intentional Action
"Lippold, 1952"	The relation between integrated action potentials in a human muscle and its isometric tension
"Lloyd, 2003"	An EMG-driven musculoskeletal model to estimate muscle forces and knee joint moments in vivo
"Markin, 2016"	A Neuromechanical Model of Spinal Control of Locomotion
"McCrea, 2008"	Organization of mammalian locomotor rhythm and pattern generation
"McKay, 2012"	Optimization of Muscle Activity for Task-Level Goals Predicts Complex Changes in Limb Forces across Biomechanical Contexts
"Morrison, 1970"	The mechanics of the knee joint in relation to normal walking
"Muir, 1999"	Ground reaction forces in locomoting hemi-parkinsonian rats: a definitive test for impairments and compensations
"Murphy, 1974"	Mechanical properties of the cat soleus muscle in situ
"Murray, 1994"	A Mathematical Introduction to Robotic Manipulation
"Nicolopoulos?Stournaras, 1983"	Motor neuron columns in the lumbar spinal cord of the rat
"Pearlman, 2004"	The fundamental thumb-tip force vectors produced by the muscles of the thumb
"Pedotti, 1978"	Optimization of muscle-force sequencing in human locomotion
"Penrod, 1974"	An optimization approach to tendon force analysis
"Perreault, 2008"	Interactions With Compliant Loads Alter Stretch Reflex Gains But Not Intermuscular Coordination
"Prilutsky, 2002"	Optimization-Based Models of Muscle Coordination
"Rode, 2009"	The effects of parallel and series elastic components on the active cat soleus force-length relationship
"Sacks, 1982"	Architecture of the hind limb muscles of cats: Functional significance
"Sandercock, 2018"	Vastus lateralis and vastus medialis produce distinct mediolateral forces on the patella but similar forces on the tibia in the rat
"Savelberg, 2003"	Contribution of mono- and biarticular muscles to  extending knee joint moments in runners and cyclists
"Schipplein, 1991"	Interaction between active and passive knee stabilizers during level walking
"Seireg, 1973"	A mathematical model for evaluation of forces in lower extremeties of the musculo-skeletal system
"Sharbafi, 2016"	A new biarticular actuator design facilitates control of leg function in BioBiped3
"Spector, 1980"	Muscle architecture and force-velocity characteristics of cat soleus and medial gastrocnemius: implications for motor control
"Steele, 2015"	Muscle synergies and complexity of neuromuscular control during gait in cerebral palsy
"Steele, 2015"	Consequences of biomechanically constrained tasks in the design and interpretation of synergy analyses
"Szczecinski, 2014"	A neuromechanical simulation of insect walking and transition to turning of the cockroach Blaberus discoidalis
"Szczecinski, 2017"	A Functional Subnetwork Approach to Designing Synthetic Nervous Systems That Control Legged Robot Locomotion
"Szczecinski, 2017"	Design process and tools for dynamic neuromechanical models and robot controllers
"Szczecinski, 2014"	Neuromechanical Mantis Model Replicates Animal Postures via Biological Neural Models
"Taborri, 2018"	"Feasibility of Muscle Synergy Outcomes in Clinics, Robotics, and Sports: A Systematic Review"
"Taborri, 2018"	On the Reliability and Repeatability of Surface Electromyography Factorization by Muscle Synergies in Daily Life Activities
"Thelen, 2003"	Adjustment of Muscle Mechanics Model Parameters to Simulate Dynamic Contractions in Older Adults
"Thota, 2005"	Neuromechanical Control of Locomotion in the Rat
"Ting, 2012"	Review and perspective: neuromechanical considerations for predicting muscle activation patterns for movement
"Ting, 2005"	A Limited Set of Muscle Synergies for Force Control During a Postural Task
"Torres-Oviedo, 2007"	Muscle Synergies Characterizing Human Postural Responses
"Tresch, 2006"	Matrix Factorization Algorithms for the Identification of Muscle Synergies: Evaluation on Simulated and Experimental Data Sets
"Tresch, 1999"	The construction of movement by the spinal cord
"Tresch, 2009"	The case for and against muscle synergies
"Valero-Cuevas, 2015"	Exploring the high-dimensional structure of muscle redundancy via subject-specific and generic musculoskeletal models
"Valero-Cuevas, 2009"	Structured Variability of Muscle Activations Supports the Minimal Intervention Principle of Motor Control
"Visser, 1990"	Length and moment arm of human leg muscles as a function of knee and hip-joint angles
"Wei, 2018"	Uncertainty in Limb Configuration Makes Minimal Contribution to Errors Between Observed and Predicted Forces in a Musculoskeletal Model of the Rat Hindlimb
"Wenger, 2016"	Spatiotemporal neuromodulation therapies engaging muscle synergies improve motor control after spinal cord injury
"Williams, 2008"	Functional anatomy and muscle moment arms of the pelvic limb of an elite sprinting athlete: the racing greyhound (Canis familiaris)
"Witte, 2002"	Torque patterns of the limbs of small therian mammals during locomotion on flat ground
"Yeo, 2013"	Phenomenological models of the dynamics of muscle during isotonic shortening
"Yeo, 2011"	Estimation of musculoskeletal models from in situ measurements of muscle action in the rat hindlimb
"Young, 2018"	A Neuromechanical Rat Model with a Complete Set of Hind Limb Muscles
"Young, 2019"	Analyzing Moment Arm Profiles in a Full-Muscle Rat Hindlimb Model
"Zajac, 1989"	"Muscle and tendon: properties, models, scaling, and application to biomechanics and motor control."
